Antall datapunkter: 10201
X: -5.000, Y: 2.200, Z: 29.840, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 2.300, Z: 30.290, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 2.400, Z: 30.760, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 2.500, Z: 31.250, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 2.600, Z: 31.760, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 2.700, Z: 32.290, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 2.800, Z: 32.840, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 2.900, Z: 33.410, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 3.000, Z: 34.000, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 3.100, Z: 34.610, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 3.200, Z: 35.240, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 3.300, Z: 35.890, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 3.400, Z: 36.560, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 3.500, Z: 37.250, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 3.600, Z: 37.960, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 3.700, Z: 38.690, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 3.800, Z: 39.440, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 3.900, Z: 40.210, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 4.000, Z: 41.000, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 4.100, Z: 41.810, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 4.200, Z: 42.640, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 4.300, Z: 43.490, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 4.400, Z: 44.360, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 4.500, Z: 45.250, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 4.600, Z: 46.160, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 4.700, Z: 47.090, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 4.800, Z: 48.040, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 4.900, Z: 49.010, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: 5.000, Z: 50.000, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -5.000, Z: 49.010, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -4.900, Z: 48.020, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -4.800, Z: 47.050, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -4.700, Z: 46.100, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -4.600, Z: 45.170, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -4.500, Z: 44.260, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -4.400, Z: 43.370, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -4.300, Z: 42.500, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -4.200, Z: 41.650, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -4.100, Z: 40.820, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -4.000, Z: 40.010, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -3.900, Z: 39.220, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -3.800, Z: 38.450, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -3.700, Z: 37.700, r: 1.000, g: 0.000, b: 0.000
